1805.00460v1 , VisDial , Visual dialog , arxiv_paper_20000
1710.05364v1 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_39602
1805.05491v1 , Russakovsky2015 , ImageNet Large Scale Visual Recognition Challenge , arxiv_paper_39604
1805.05491v1 , kovashka2016crowdsourcing , Crowdsourcing in computer vision , arxiv_paper_39605
1907.07328v1 , yu2017improved , Improved neural relation detection for knowledge base question answering , arxiv_paper_39614
1907.07328v1 , mikolov2013exploiting , Exploiting similarities among languages for machine translation , arxiv_paper_39615
1310.4579v1 , LuZ2010LinkPred , Link prediction in complex networks: A survey , arxiv_paper_39625
1708.06637v1 , Shi:2015 , Gradient Boundary Histograms for Action Recognition , arxiv_paper_39639
1812.05038v2 , zhou2017temporalrelation , Temporal relational reasoning in videos , arxiv_paper_39650
1812.05038v2 , feichtenhofer2016spatiotemporal , Spatiotemporal residual networks for video action recognition , arxiv_paper_39652
1908.03057v2 , rozantsev2015rendering , On rendering synthetic images for training an object detector , arxiv_paper_39654
1907.11418v2 , mirza2014conditional , Conditional generative adversarial nets , arxiv_paper_39656
1609.09018v1 , paper:attr_wild , Deep learning face attributes in the wild , arxiv_paper_39663
1905.10452v1 , Lin2017 , Towards accurate binary convolutional neural network , arxiv_paper_39669
1908.02726v1 , DBLP:conf/cvpr/LinMBHPRDZ14 , Microsoft COCO: common objects in context , arxiv_paper_39673
1908.02726v1 , DBLP:conf/cvpr/Lu2018Neural , Neural baby talk , arxiv_paper_39674
1908.02726v1 , DBLP:conf/mm/WuZJY18 , Decoupled novel object captioner , arxiv_paper_39675
1911.00426v1 , Chen2018CVPR , Sketchygan: Towards diverse and realistic sketch to image synthesis , arxiv_paper_39676
1912.02164v3 , subramani2019can , Can unconditional language models recover arbitrary sentences? , arxiv_paper_39679
1904.05419v4 , kusner2017counterfactual , Counterfactual fairness , arxiv_paper_39699
1908.01449v1 , attentionTransfer , Attention transfer from web images for video recognition , arxiv_paper_39700
1908.01449v1 , UntrimmedNets , Untrimmednets for weakly supervised action recognition and detection , arxiv_paper_39702
1908.01449v1 , c3d , Learning spatiotemporal features with 3d convolutional networks , arxiv_paper_39703
1908.01449v1 , quoVadis , Quo vadis, action recognition? A new model and the kinetics dataset , arxiv_paper_39704
1908.01449v1 , adda , Adversarial discriminative domain adaptation , arxiv_paper_39707
1908.01449v1 , simultaneousDeep , Simultaneous deep transfer across domains and tasks , arxiv_paper_39708
1908.01449v1 , importanceWeighted , Importance weighted adversarial nets for partial domain adaptation , arxiv_paper_39710
1604.07602v2 , bearmanArXiv15whatsthepoint , What's the point: Semantic segmentation with point supervision , arxiv_paper_39745
1707.02402v1 , He_2016_CVPR , Deep residual learning for image recognition , arxiv_paper_39747
1611.08219v3 , cirl16 , Cooperative inverse reinforcement learning , arxiv_paper_39752
1908.08207v1 , he2017mask , Mask R-CNN , arxiv_paper_39762
1802.04023v1 , HKPV05 , Determinantal Processes and Independence , arxiv_paper_39763
1802.04023v1 , CDKSV17 , On the complexity of constrained determinantal point processes , arxiv_paper_39764
1805.11797v2 , factorize , Predicting parameters in deep learning , arxiv_paper_39771
1805.11797v2 , cnnlowrank , Speeding up convolutional neural networks with low rank expansions , arxiv_paper_39773
1805.11797v2 , toeplitz , Learning compact recurrent neural networks , arxiv_paper_39774
1805.11797v2 , cnnhash , Compressing neural networks with the hashing trick , arxiv_paper_39775
1805.11797v2 , baiduprune , Exploring sparsity in recurrent neural networks , arxiv_paper_39777
1911.12836v1 , Bhat19ICCV , Learning discriminative model prediction for tracking , arxiv_paper_39781
1904.03116v2 , hollywoodextended , Weakly supervised action labeling in videos under ordering constraints , arxiv_paper_39789
1910.01460v1 , long2015fully , Fully convolutional networks for semantic segmentation , arxiv_paper_39795
1910.01460v1 , fu2018dorn , Deep ordinal regression network for monocular depth estimation , arxiv_paper_39796
1904.00842v1 , ronneberger2015u , U-net: Convolutional networks for biomedical image segmentation , arxiv_paper_39799
1412.7062v4 , hariharan2014simultaneous , Simultaneous detection and segmentation , arxiv_paper_39800
1905.02780v1 , laskey2017learning , Learning robust bed making using deep imitation learning with dart , arxiv_paper_39805
1911.07401v1 , riegler2017octnetfusion , Octnetfusion: Learning depth fusion from data , arxiv_paper_39809
1911.07401v1 , riegler2017octnet , Octnet: Learning deep 3d representations at high resolutions , arxiv_paper_39811
1911.07401v1 , mescheder2019occupancy , Occupancy networks: Learning 3d reconstruction in function space , arxiv_paper_39813
1911.07401v1 , tatarchenko2018tangent , Tangent convolutions for dense prediction in 3d , arxiv_paper_39817
1807.01950v2 , sharma2016vconv , Vconv-dae: Deep volumetric shape learning without object labels , arxiv_paper_39831
1703.10717v4 , arjovsky2017wasserstein , Wasserstein gan , arxiv_paper_39837
1905.04016v1 , szegedy2013intriguing , Intriguing properties of neural networks , arxiv_paper_39839
1806.06161v2 , osband2016deep , Deep exploration via bootstrapped DQN , arxiv_paper_39843
1806.06161v2 , osband2017deep , Deep exploration via randomized value functions , arxiv_paper_39844
1806.06161v2 , florensa2017reverse , Reverse curriculum generation for reinforcement learning , arxiv_paper_39846
1903.06259v1 , theis2015note , A note on the evaluation of generative models , arxiv_paper_39848
1903.06259v1 , arjovsky2017wasserstein , Wasserstein gan , arxiv_paper_39849
1802.06459v1 , inn , Learning structured inference neural networks with label relations , arxiv_paper_39850
1803.07835v1 , Richardson2016Learning , Learning detailed face reconstruction from a single image , arxiv_paper_39858
1803.07835v1 , liu2017dense , Dense face alignment , arxiv_paper_39859
1806.01482v2 , sadeghian2017car , Car-net: Clairvoyant attentive recurrent network , arxiv_paper_39862
1908.02160v2 , sukhbaatar2014training , Training convolutional networks with noisy labels , arxiv_paper_39864
1908.02160v2 , ghosh2015making , Making risk minimization tolerant to label noise , arxiv_paper_39869
1908.02160v2 , reed2014training , Training deep neural networks on noisy labels with bootstrapping , arxiv_paper_39873
1908.02160v2 , tanaka2018joint , Joint optimization framework for learning with noisy labels , arxiv_paper_39874
1908.03839v3 , newell2016stacked , Stacked hourglass networks for human pose estimation , arxiv_paper_39881
1803.00967v2 , schenck2017learning , Learning robotic manipulation of granular media , arxiv_paper_39884
1803.00967v2 , kulesza2012determinantal , Determinantal point processes for machine learning , arxiv_paper_39889
1901.11344v1 , vaswani2017attention , Attention is all you need , arxiv_paper_39893
1902.06843v1 , duong2017multimodal , Multimodal classification for analysing social media , arxiv_paper_39894
1505.05173v6 , Sun-Arxiv15 , Raptor: Routing attacks on privacy in tor , arxiv_paper_39906
1906.05896v3 , kirillov2018panoptic , Panoptic segmentation , arxiv_paper_39908
1903.00268v2 , COCO , Microsoft COCO: Common Objects in Context , arxiv_paper_39919
1903.00268v2 , MaskXRCNN , Learning to Segment Every Thing , arxiv_paper_39920
1609.03892v1 , CASIA-Web , Learning face representation from scratch , arxiv_paper_39932
1609.03892v1 , FaceNet , Facenet: A unified embedding for face recognition and clustering , arxiv_paper_39933
1903.08600v1 , deshpande2012linear , Linear bandits in high dimension and recommendation systems , arxiv_paper_39934
1903.03148v1 , ronneberger2015u , U-net: Convolutional networks for biomedical image segmentation , arxiv_paper_39936
1902.06720v4 , zagoruyko2016wide , Wide residual networks , arxiv_paper_39958
1812.01737v2 , Ma2018DisentangledGeneration , Disentangled Person Image Generation , arxiv_paper_39969
1801.02612v2 , jaderberg2015spatial , Spatial transformer networks , arxiv_paper_39971
1801.02612v2 , zhou2016learning , Learning deep features for discriminative localization , arxiv_paper_39972
1801.02612v2 , goodfellow2014explaining , Explaining and harnessing adversarial examples , arxiv_paper_39973
1812.02393v2 , Sam_2017_CVPR , Switching convolutional neural network for crowd counting , arxiv_paper_39976
1911.03678v1 , D17-1303 , Image pivoting for learning multilingual multimodal representations , arxiv_paper_39981
1911.03678v1 , kadar2018conll , Lessons learned in multilingual grounded language learning , arxiv_paper_39982
1808.00265v1 , VQA:Survey:2017 , Visual question answering: A survey of methods and datasets , arxiv_paper_39988
1808.00265v1 , Bahdanau:EtAl:2015 , Neural machine translation by jointly learning to align and translate , arxiv_paper_39991
1806.10270v4 , bastani2017interpreting , Interpreting blackbox models via model extraction , arxiv_paper_39999
1806.10270v4 , lundberg2017unified , A unified approach to interpreting model predictions , arxiv_paper_40002
1510.02706v2 , Agarwal01 , The generalization ability of online algorithms for dependent data , arxiv_paper_40006
1510.02706v2 , wintenberger2014optimal , Optimal learning with Bernstein online aggregation , arxiv_paper_40007
1806.04606v2 , hinton2015distilling , Distilling the knowledge in a neural network , arxiv_paper_40009
1806.04606v2 , romero2014fitnets , Fitnets: Hints for thin deep nets , arxiv_paper_40011
1806.04606v2 , zhang2017deep , Deep mutual learning , arxiv_paper_40012
1806.04606v2 , he2016deep , Deep residual learning for image recognition , arxiv_paper_40014
1808.04234v1 , liu2016ssd , Ssd: Single shot multibox detector , arxiv_paper_40016
1902.09852v2 , he2017mask , Mask r-cnn , arxiv_paper_40021
1902.09852v2 , de2017semantic , Semantic instance segmentation with a discriminative loss function , arxiv_paper_40023
1904.00523v1 , mildenhall2018burst , Burst denoising with kernel prediction networks , arxiv_paper_40033
1803.02504v1 , rippel2016metric , Metric learning with adaptive density discrimination , arxiv_paper_40036
1805.04836v1 , dynamic_entity , Dynamic entity representations in neural language models , arxiv_paper_40051
1805.04836v1 , socher , Regularizing and Optimizing LSTM Language Models , arxiv_paper_40053
1912.04538v1 , Hara_2018 , Can spatiotemporal 3D CNNs retrace the history of 2D CNNs and ImageNet? , arxiv_paper_40057
1912.04538v1 , kurakin2016adversarial , Adversarial examples in the physical world , arxiv_paper_40058
1912.04538v1 , aleks2017deep , Towards deep learning models resistant to adversarial attacks , arxiv_paper_40059
1912.04538v1 , Moosavi_Dezfooli_2016 , Deepfool: A simple and accurate method to fool deep neural networks , arxiv_paper_40060
1906.03291v4 , Arora2018 , Stronger generalization bounds for deep nets via a compression approach , arxiv_paper_40061
1507.05999v3 , fastppr , Fast-ppr: Scaling personalized pagerank estimation for large graphs , arxiv_paper_40067
1507.05999v3 , Lofgren2013 , Personalized pagerank to a target node , arxiv_paper_40068
1507.05999v3 , generalized_fastppr , Fast bidirectional probability estimation in markov models , arxiv_paper_40069
1805.07880v1 , audibert2011robust , Robust linear least squares regression , arxiv_paper_40081
1604.01827v2 , Black_cvpr2016 , Optical Flow with Semantic Segmentation and Localized Layers , arxiv_paper_40087
1904.07319v1 , GAIL , Generative Adversarial Imitation Learning , arxiv_paper_40091
1609.09642v1 , long2015fully , Fully convolutional networks for semantic segmentation , arxiv_paper_40095
1609.09642v1 , zheng2015conditional , Conditional random fields as recurrent neural networks , arxiv_paper_40097
1609.09642v1 , noh2015learning , Learning deconvolution network for semantic segmentation , arxiv_paper_40098
1901.00398v2 , lamb2016professor , Professor forcing: A new algorithm for training recurrent networks , arxiv_paper_40114
1901.00398v2 , lin2017adversarial , Adversarial ranking for language generation , arxiv_paper_40118
1901.00398v2 , guu2018generating , Generating sentences by editing prototypes , arxiv_paper_40121
1901.00398v2 , kannan2017adversarial , Adversarial evaluation of dialogue models , arxiv_paper_40123
1901.00398v2 , dai2017towards , Towards diverse and natural image descriptions via a conditional gan , arxiv_paper_40126
1901.00398v2 , shi2018towards , Toward diverse text generation with inverse reinforcement learning , arxiv_paper_40128
1901.00398v2 , theis2015note , A note on the evaluation of generative models , arxiv_paper_40131
1901.00398v2 , goodfellow2016nips , Nips 2016 tutorial: Generative adversarial networks , arxiv_paper_40132
1903.00865v1 , pathak2016context , Context encoders: Feature learning by inpainting , arxiv_paper_40133
1807.02842v1 , RRC , Accurate single stage detector using recurrent rolling convolution , arxiv_paper_40138
1511.08552v1 , BNSV15 , Differentially private release and learning of threshold functions , arxiv_paper_40143
1905.07666v1 , tsipras2019robustness , Robustness may be at odds with accuracy , arxiv_paper_40145
1804.05142v1 , borji2015salient , Salient object detection: A benchmark , arxiv_paper_40151
1804.05142v1 , li2015visual , Visual saliency based on multiscale deep features , arxiv_paper_40154
1804.05142v1 , li2016dcl , Deep contrast learning for salient object detection , arxiv_paper_40155
1904.04466v1 , yu2018slimmable , Slimmable neural networks , arxiv_paper_40168
1912.01991v1 , gidaris2018unsupervised , Unsupervised representation learning by predicting image rotations , arxiv_paper_40169
1703.01030v1 , chang2015learning , Learning to search better than your teacher , arxiv_paper_40172
1807.09341v1 , denton2017unsupervised , Unsupervised learning of disentangled representations from video , arxiv_paper_40173
1908.10267v2 , shuju , Deep joint rain detection and removal from a single image , arxiv_paper_40185
1907.06143v1 , ndiv , Normalized diversification , arxiv_paper_40195
1909.01146v1 , data-hungry , Six challenges for neural machine translation , arxiv_paper_40197
1909.01146v1 , sennrich , Improving neural machine translation models with monolingual data , arxiv_paper_40198
1909.01146v1 , burlot , Using monolingual data in neural machine translation: a systematic study , arxiv_paper_40199
1909.01146v1 , cold-fusion , Cold fusion: Training seq2seq models together with language models , arxiv_paper_40200
1905.11549v1 , hallac2015network , Network lasso: Clustering and optimization in large graphs , arxiv_paper_40206
1612.00370v4 , Vinyals2015 , Show and tell: A neural image caption generator , arxiv_paper_40208
1612.00370v4 , Yang2016 , Review networks for caption generation , arxiv_paper_40210
1612.00370v4 , Venugopalan2016 , Captioning images with diverse objects , arxiv_paper_40211
1612.00370v4 , Tran2016 , Rich image captioning in the wild , arxiv_paper_40212
1612.00370v4 , Ranzato2015 , Sequence level training with recurrent neural networks , arxiv_paper_40215
1612.00370v4 , hendricks2016generating , Generating visual explanations , arxiv_paper_40216
1612.00370v4 , Yu2016 , SeqGAN: Sequence generative adversarial nets with policy gradient , arxiv_paper_40217
1704.00159v3 , lifshitz2016human , Human pose estimation using deep consensus voting , arxiv_paper_40218
1704.00159v3 , gkioxari2016chained , Chained predictions using convolutional neural networks , arxiv_paper_40219
1704.00159v3 , chu2016structured , Structured feature learning for pose estimation , arxiv_paper_40223
1704.00159v3 , carreira2016human , Human pose estimation with iterative error feedback , arxiv_paper_40227
1812.03407v1 , adda_cvpr2017 , Adversarial discriminative domain adaptation , arxiv_paper_40245
1812.03407v1 , pmlr-v37-ganin15 , Unsupervised domain adaptation by backpropagation , arxiv_paper_40246
1812.03407v1 , NIPS2016_6544 , Coupled generative adversarial networks , arxiv_paper_40247
1810.10165v2 , RefMao , Generation and comprehension of unambiguous object descriptions , arxiv_paper_40255
1810.10165v2 , SegExp , Segmentation from natural language expressions , arxiv_paper_40256
1810.10625v2 , wong2018scaling , Scaling provable adversarial defenses , arxiv_paper_40258
1707.09531v2 , chen2016supervised , Supervised transformer network for efficient face detection , arxiv_paper_40266
1707.09531v2 , liu2016ssd , Ssd: Single shot multibox detector , arxiv_paper_40267
1909.13082v2 , makkuva2019optimal , Optimal transport mapping via input convex neural networks , arxiv_paper_40271
1704.03037v2 , novikov2016exponential , Exponential machines , arxiv_paper_40275
1908.01403v3 , Jaderberg2016 , Reading text in the wild with convolutional neural networks , arxiv_paper_40290
1711.06045v2 , fischer2015flownet , FlowNet: Learning optical flow with convolutional networks , arxiv_paper_40293
1711.06045v2 , jaderberg2015spatial , Spatial transformer networks , arxiv_paper_40295
1711.06045v2 , niklaus2017sepconv , Video frame interpolation via adaptive separable convolution , arxiv_paper_40298
1711.06045v2 , ganin2016deepwarp , Deepwarp: Photorealistic image resynthesis for gaze manipulation , arxiv_paper_40299
2002.07362v1 , he2017mask , Mask r-cnn , arxiv_paper_40312
1510.05956v6 , hajek2015information , Information limits for recovering a hidden community , arxiv_paper_40318
1510.05956v6 , yun2014 , Community detection via random and adaptive sampling , arxiv_paper_40319
1908.11225v1 , OShea2017 , An Introduction to Deep Learning for the Physical Layer , arxiv_paper_40335
1908.11225v1 , rebato18 , Study of Realistic Antenna Patterns in 5G mmWave Cellular Scenarios , arxiv_paper_40340
1507.06332v1 , erhan2014scalable , Scalable object detection using deep neural networks , arxiv_paper_40350
1507.06332v1 , toshev2014deeppose , Deeppose: Human pose estimation via deep neural networks , arxiv_paper_40351
1909.11821v2 , ho2016generative , Generative adversarial imitation learning , arxiv_paper_40357
1811.02234v1 , lipton2016mythos , The mythos of model interpretability , arxiv_paper_40361
1912.08804v1 , Chen19 , Monocular neural image based rendering with continuous view control , arxiv_paper_40363
1912.08804v1 , Nguyen19 , HoloGAN: Unsupervised learning of 3d representations from natural images , arxiv_paper_40365
1905.12498v1 , he2016dual , Dual learning for machine translation , arxiv_paper_40366
1907.13113v1 , recon15 , Recon: Revealing and controlling pii leaks in mobile network traffic , arxiv_paper_40367
1810.04481v3 , 10.1109/ONDM.2016.7494087 , Adapted and constrained Dijkstra for elastic optical networks , arxiv_paper_40401
1812.00350v1 , SerbanEtAl2018long , A deep reinforcement learning chatbot (short version) , arxiv_paper_40412
1905.11373v1 , chavdarova2019reducing , Reducing noise in gan training with variance reduced extragradient , arxiv_paper_40419
1702.00458v5 , Kawaguchi16a , Deep learning without poor local minima , arxiv_paper_40420
1602.06149v1 , yi2014learning , Learning face representation from scratch , arxiv_paper_40443
1810.09785v1 , wavenet , Wavenet: A generative model for raw audio , arxiv_paper_40451
1810.09785v1 , hinton2015distilling , Distilling the knowledge in a neural network , arxiv_paper_40452
1810.09785v1 , nsynth , Neural audio synthesis of musical notes with wavenet autoencoders , arxiv_paper_40454
1809.01701v3 , Kang2017object , Object detection in videos with tubelet proposal networks , arxiv_paper_40458
1809.01701v3 , zhu2017deep , Deep feature flow for video recognition , arxiv_paper_40459
1809.01701v3 , pan2018recurrent , Recurrent residual module for fast inference in videos , arxiv_paper_40460
1809.01701v3 , Han2016 , Eie: Efficient inference engine on compressed deep neural network , arxiv_paper_40461
1809.01701v3 , NIPS2016_ssparsity , Learning structured sparsity in deep neural networks , arxiv_paper_40462
1809.01701v3 , bengiocondcomp , Conditional computation in neural networks for faster models , arxiv_paper_40467
1809.01701v3 , GanapathyVRR17 , Dyvedeep: Dynamic variable effort deep neural networks , arxiv_paper_40469
1809.01701v3 , feichtenhofer2017detect , Detect to track and track to detect , arxiv_paper_40471
1706.10003v1 , diakon16 , A new approach for testing properties of discrete distributions , arxiv_paper_40474
1801.10253v2 , novak2015sentiment , Sentiment of emojis , arxiv_paper_40478
1611.08034v2 , zaremba2014recurrent , Recurrent neural network regularization , arxiv_paper_40481
1909.01562v2 , Hao:2019:NAACL , Modeling recurrence for transformer , arxiv_paper_40486
1907.00267v1 , SongCVPR2017Semantic , Semantic scene completion from a single depth image , arxiv_paper_40487
1907.06370v1 , sandler_2018_mobilenetv2 , MobileNetV2: Inverted Residuals and Linear Bottlenecks , arxiv_paper_40500
1703.02719v1 , long2015fully , Fully convolutional networks for semantic segmentation , arxiv_paper_40503
1704.06440v4 , wang2015dueling , Dueling network architectures for deep reinforcement learning , arxiv_paper_40520
1704.06440v4 , nachum2017bridging , Bridging the gap between value and policy based reinforcement learning , arxiv_paper_40521
1909.12928v1 , TYwrong , What is wrong with style transfer for texts? , arxiv_paper_40524
1602.08761v2 , strubell2015learning , Learning Dynamic Feature Selection for Fast Sequential Prediction , arxiv_paper_40547
1910.11104v1 , Lample2017 , Fader networks: Manipulating images by sliding attributes , arxiv_paper_40552
1910.11104v1 , Vondrick2016 , Generating videos with scene dynamics , arxiv_paper_40554
1903.06528v1 , giancola2018soccernet , Soccernet: A scalable dataset for action spotting in soccer videos , arxiv_paper_40562
1910.01784v1 , hamilton2017representation , Representation learning on graphs: Methods and applications , arxiv_paper_40563
2002.08041v1 , long17 , Deep transfer learning with joint adaptation networks , arxiv_paper_40564
2002.08041v1 , sun16 , Deep coral: Correlation alignment for deep domain adaptation , arxiv_paper_40565
2002.08041v1 , artem18 , Beyond sharing weights for deep domain adaptation , arxiv_paper_40566
2002.08041v1 , ganin15 , Unsupervised domain adaptation by backpropagation , arxiv_paper_40567
2002.08041v1 , dsn16 , Domain separation networks , arxiv_paper_40568
2002.08041v1 , adda17 , Adversarial discriminative domain adaptation , arxiv_paper_40569
2002.08041v1 , shu2018a , A DIRT-t approach to unsupervised domain adaptation , arxiv_paper_40571
2002.08041v1 , salimans16 , Improved techniques for training gans , arxiv_paper_40578
1607.08659v2 , Mustafa2015 , General dynamic scene reconstruction from multiple view video , arxiv_paper_40582
1906.01621v1 , woodworth2016tight , Tight complexity bounds for optimizing composite objectives , arxiv_paper_40595
1802.05399v3 , RakhlinSr13_predictable , Online learning with predictable sequences , arxiv_paper_40598
2002.05518v1 , abel2016near , Near optimal behavior via approximate state abstraction , arxiv_paper_40615
1909.09317v1 , Nguyen:2011:MSM:2078324.2078329 , Multilingual schema matching for wikipedia infoboxes , arxiv_paper_40617
1512.03019v1 , xu2014gradient , Gradient boosted feature selection , arxiv_paper_40622
1710.11214v2 , schnabel2016recommendations , Recommendations as treatments: Debiasing learning and evaluation , arxiv_paper_40638
1710.11214v2 , de2014reducing , Reducing offline evaluation bias in recommendation systems , arxiv_paper_40639
1906.04972v1 , choi2016automatic , Automatic tagging using deep convolutional neural networks , arxiv_paper_40646
1906.04972v1 , vaswani2017attention , Attention is all you need , arxiv_paper_40648
1402.6278v4 , KLNRS:11 , What can we learn privately? , arxiv_paper_40651
1810.03964v2 , sevilla2017integration , On the integration of optical flow and action recognition , arxiv_paper_40657
1608.04493v2 , mathieu2013 , Fast training of convolutional networks through FFTs , arxiv_paper_40659
1608.04493v2 , denil2013 , Predicting parameters in deep learning , arxiv_paper_40660
1608.04493v2 , gong2014 , Compressing deep convolutional networks using vector quantization , arxiv_paper_40661
1608.04493v2 , chen2015 , Compressing neural networks with the hashing trick , arxiv_paper_40662
1608.04493v2 , han2015 , Learning both weights and connections for efficient neural networks , arxiv_paper_40665
1608.04493v2 , han2016isca , EIE: Efficient inference engine on compressed deep neural network , arxiv_paper_40666
1806.01593v2 , ResNet_1 , Deep residual learning for image recognition , arxiv_paper_40668
1711.09561v1 , corr2017:Chen , Video imagination from a single image with transformation generation , arxiv_paper_40670
1809.06963v3 , mccann2018natural , The natural language decathlon: Multitask learning as question answering , arxiv_paper_40681
1804.06958v2 , sam2017switching , Switching convolutional neural network for crowd counting , arxiv_paper_40686
1912.08077v1 , Newell_ECCV_2016 , Stacked Hourglass Networks for Human Pose Estimation , arxiv_paper_40690
1912.08077v1 , Yang_2017_ICCV , Learning feature pyramids for human pose estimation , arxiv_paper_40692
1912.08077v1 , Toshev_CVPR_2014 , DeepPose: Human Pose Estimation via Deep Neural Networks , arxiv_paper_40695
1912.08077v1 , Carreira_CVPR_2016 , Human pose estimation with iterative error feedback , arxiv_paper_40696
1912.08077v1 , Sun_2017_ICCV , Compositional human pose regression , arxiv_paper_40701
1912.08077v1 , Sun_2018_ECCV , Integral human pose regression , arxiv_paper_40703
1912.08077v1 , Yang_2018_CVPR , 3d human pose estimation in the wild by adversarial learning , arxiv_paper_40705
1912.08077v1 , Iqbal_2018_ECCV , Hand pose estimation via latent 2.5d heatmap regression , arxiv_paper_40706
1808.06882v1 , Chung17b , You said that? , arxiv_paper_40721
1907.12189v1 , rangi2018online , Online learning with feedback graphs and switching costs , arxiv_paper_40727
1907.12189v1 , alon2013bandits , From bandits to experts: A tale of domination and independence , arxiv_paper_40728
1804.03487v1 , MakhzaniSJG15 , Adversarial autoencoders , arxiv_paper_40732
1809.04747v1 , dcc , Deep continuous clustering , arxiv_paper_40748
1809.04747v1 , dnc_arx , Deep learning with nonparametric clustering , arxiv_paper_40752
1809.04747v1 , dec_xie , Unsupervised deep embedding for clustering analysis , arxiv_paper_40753
1809.04747v1 , jule , Joint unsupervised learning of deep representations and image clusters , arxiv_paper_40755
1809.04747v1 , georgios18 , Latent space oddity: on the curvature of deep generative models , arxiv_paper_40761
1810.06694v3 , bojanowski2017enriching , Enriching word vectors with subword information , arxiv_paper_40767
1907.01707v1 , peng2019adaptive , Adaptive influence maximization with myopic feedback , arxiv_paper_40778
1904.07933v2 , Aytar2017 , See, hear, and read: Deep aligned representations , arxiv_paper_40783
1904.07933v2 , Arandjelovic2017 , Look, listen and learn , arxiv_paper_40784
1904.07933v2 , Arandjelovic2018 , Objects that sound , arxiv_paper_40785
1904.07933v2 , Zhao2018 , The sound of pixels , arxiv_paper_40788
1904.07933v2 , Senocak2018 , Learning to localize sound source in visual scenes , arxiv_paper_40789
1904.07933v2 , Lopez-Paz2015 , Unifying distillation and privileged information , arxiv_paper_40792
1904.07933v2 , Aytar2016 , Soundnet: Learning sound representations from unlabeled video , arxiv_paper_40793
1811.08056v2 , yosinski2015understanding , Understanding neural networks through deep visualization , arxiv_paper_40801
1811.08056v2 , alvarez2016learning , Learning the number of neurons in deep networks , arxiv_paper_40802
1804.03429v2 , karaletsos2016adversarial , Adversarial message passing for graphical models , arxiv_paper_40803
1805.07813v4 , finn2016auto , Deep spatial autoencoders for visuomotor learning , arxiv_paper_40804
1805.07813v4 , ha2018world , World models , arxiv_paper_40805
1805.07813v4 , oh2017value , Value prediction network , arxiv_paper_40806
1905.04405v2 , zhu2017structured , Structured attentions for visual question answering , arxiv_paper_40817
1905.04405v2 , cadene2019murel , Murel: Multimodal relational reasoning for visual question answering , arxiv_paper_40819
1905.04405v2 , hu2018explainable , Explainable neural computation via stack neural module networks , arxiv_paper_40822
1303.5685v2 , binopca , Sparse logistic principal components analysis for binary data , arxiv_paper_40823
1910.00254v2 , tied_multitask , Tied multitask learning for neural speech translation , arxiv_paper_40830
1907.10838v1 , mirza2014conditional , Conditional generative adversarial nets , arxiv_paper_40841
1907.06007v2 , zhu2019progressive , Progressive pose attention transfer for person image generation , arxiv_paper_40854
1907.06007v2 , gupta2016synthetic , Synthetic data for text localisation in natural images , arxiv_paper_40856
1808.02113v1 , bahdanau2014neural , Neural machine translation by jointly learning to align and translate , arxiv_paper_40860
1802.00634v1 , Toshev2014_DeepPose , DeepPose: Human pose estimation via deep neural networks , arxiv_paper_40867
1908.05389v1 , ronneberger2015u , U-net: Convolutional networks for biomedical image segmentation , arxiv_paper_40871
1910.13393v1 , schaul2019ray , Ray interference: a source of plateaus in deep reinforcement learning , arxiv_paper_40873
1705.07706v1 , garcia2017behavior , On the behavior of convolutional nets for feature extraction , arxiv_paper_40874
1910.13066v1 , CAT2000 , Cat2000: A large scale fixation dataset for boosting saliency research , arxiv_paper_40883
1910.13066v1 , Pan_2017_SalGAN , Salgan: Visual saliency prediction with generative adversarial networks , arxiv_paper_40904
1706.03175v1 , chm15 , The loss surfaces of multilayer networks , arxiv_paper_40910
1706.03175v1 , k16 , Deep learning without poor local minima , arxiv_paper_40911
1706.03175v1 , ss16 , On the quality of the initial basin in overspecified neural networks , arxiv_paper_40912
1706.03175v1 , lss14 , On the computational efficiency of training neural networks , arxiv_paper_40913
1706.03175v1 , hv15 , Global optimality in tensor factorization, deep learning, and beyond , arxiv_paper_40914
1706.03175v1 , hm17 , Identity matters in deep learning , arxiv_paper_40916
1706.03175v1 , agh14 , Tensor decompositions for learning latent variable models , arxiv_paper_40921
1706.03175v1 , abgm14 , Provable bounds for learning some deep representations , arxiv_paper_40922
1706.03175v1 , bg17 , Globally optimal gradient descent for a convnet with gaussian inputs , arxiv_paper_40924
1910.11218v1 , DBLP:conf/naacl/DyerKBS16 , Recurrent neural network grammars , arxiv_paper_40930
1910.11218v1 , DBLP:conf/nips/SutskeverVL14 , Sequence to sequence learning with neural networks , arxiv_paper_40931
1910.11218v1 , DBLP:journals/corr/abs-1803-03585 , The importance of being recurrent for modeling hierarchical structure , arxiv_paper_40934
1609.00577v2 , hensmangaussian , Gaussian processes for big data , arxiv_paper_40938
1609.00577v2 , das-et-al-arxiv-2015 , Fast Gaussian process regression for big data , arxiv_paper_40939
1609.00577v2 , deisenroth-ng-icml-2015 , Distributed Gaussian processes , arxiv_paper_40940
1807.03470v1 , theis2017lossy , Lossy image compression with compressive autoencoders , arxiv_paper_40959
1711.06373v6 , zhou2016learning , Learning deep features for discriminative localization , arxiv_paper_40991
